Date,Hour,MCP
02/08/2023,18,2967.6575000000003
02/08/2023,19,4198.1375
02/08/2023,20,5564.2575
02/08/2023,21,6422.610000000001
02/08/2023,22,7898.8325
02/08/2023,23,7649.0425
02/08/2023,24,5997.41
02/09/2023,1,10000.0
02/09/2023,2,10000.0
02/09/2023,3,10000.0
02/09/2023,4,10000.0
02/09/2023,5,10000.0
02/09/2023,6,10000.0
02/09/2023,7,10000.0
02/09/2023,8,10000.0
02/09/2023,9,10000.0
02/09/2023,10,10000.0
02/09/2023,11,10000.0
02/09/2023,12,10000.0
02/09/2023,13,10000.0
02/09/2023,14,10000.0
02/09/2023,15,10000.0
02/09/2023,16,10000.0
02/09/2023,17,10000.0
02/09/2023,18,10000.0
02/09/2023,19,10000.0
02/09/2023,20,10000.0
02/09/2023,21,10000.0
02/09/2023,22,10000.0
02/09/2023,23,10000.0
02/09/2023,24,10000.0
02/10/2023,1,4518.25
02/10/2023,2,4079.9675
02/10/2023,3,3840.0175
02/10/2023,4,3231.4775
02/10/2023,5,3256.79
02/10/2023,6,3352.9925
02/10/2023,7,3905.8825
02/10/2023,8,3712.0
02/10/2023,9,3103.0425
02/10/2023,10,2861.6625
02/10/2023,11,1625.4950000000001
02/10/2023,12,1500.825
02/10/2023,13,1500.8125
02/10/2023,14,1500.765
02/10/2023,15,2364.6175
02/10/2023,16,3069.1125
02/10/2023,17,3371.105
02/10/2023,18,3782.285
02/10/2023,19,4202.174999999999
02/10/2023,20,5469.745
02/10/2023,21,4982.3125
02/10/2023,22,5171.155
02/10/2023,23,4780.355
02/10/2023,24,4625.17
02/11/2023,1,4157.077499999999
02/11/2023,2,4007.9075000000003
02/11/2023,3,3999.8199999999997
02/11/2023,4,4101.1875
02/11/2023,5,4005.1075
02/11/2023,6,4736.9975
02/11/2023,7,5325.2125
02/11/2023,8,5804.4975
02/11/2023,9,4729.6275000000005
02/11/2023,10,4839.68
02/11/2023,11,3913.7775
02/11/2023,12,3823.0375000000004
02/11/2023,13,3583.5425
02/11/2023,14,3404.7375
02/11/2023,15,3615.5775
02/11/2023,16,4451.52
02/11/2023,17,6574.91
02/11/2023,18,10000.0
02/11/2023,19,10000.0
02/11/2023,20,7517.02
02/11/2023,21,4712.73
02/11/2023,22,4420.8625
02/11/2023,23,4448.03
02/11/2023,24,4026.7
02/12/2023,1,3017.6075
02/12/2023,2,3009.0525
02/12/2023,3,2966.4075000000003
02/12/2023,4,2806.5625
02/12/2023,5,2923.9175
02/12/2023,6,3357.535
02/12/2023,7,3598.7125
02/12/2023,8,3957.7725
02/12/2023,9,3726.2375
02/12/2023,10,3927.1325
02/12/2023,11,3280.7225
02/12/2023,12,3172.0625
02/12/2023,13,3059.3075
02/12/2023,14,2946.57
02/12/2023,15,3060.4075000000003
02/12/2023,16,3112.88
02/12/2023,17,3855.225
02/12/2023,18,9431.565
02/12/2023,19,9249.9025
02/12/2023,20,4928.7725
02/12/2023,21,3829.9425
02/12/2023,22,3383.6975
02/12/2023,23,3037.3225
02/12/2023,24,3013.58
03/01/2024,1,1999.5925
03/01/2024,2,1999.3775
03/01/2024,3,1999.145
03/01/2024,4,1999.02
03/01/2024,5,1999.0425
